restaurant_id,review
1,The food was amazing and very tasty
1,Great service and delicious curry
2,Good pizza and nice ambience
3,Food was average but acceptable
4,Cheap and tasty burgers
5,Authentic Indian flavors loved it

6,Excellent spices and great taste
7,Pizza was good but slightly expensive
8,Chinese food was decent
9,Burgers were juicy and fresh

10,Amazing tandoori food
11,Pasta was creamy and tasty
12,Good flavors but service slow
13,Average burgers

14,Best biryani I have ever had
15,Italian food was delicious
16,Loved the noodles and soup
17,Quick service and okay taste

18,South Indian food was excellent
19,Pasta was average
20,Chinese dishes were tasty
21,Burgers were okay

22,Good food and nice ambiance
23,Very tasty pasta
24,Chinese food was good
25,Burgers were affordable and tasty
